Episode 66, Reward: -33711.54, Epsilon: 0.72, Mean wait: 3.20, Emissions: 3.42
Episode 67, Reward: -31461.60, Epsilon: 0.71, Mean wait: 5.28, Emissions: 2.89
Episode 68, Reward: -34610.15, Epsilon: 0.71, Mean wait: 8.01, Emissions: 3.11
Episode 69, Reward: -35659.74, Epsilon: 0.71, Mean wait: 4.76, Emissions: 3.47
Episode 70, Reward: -35041.69, Epsilon: 0.70, Mean wait: 7.82, Emissions: 2.94
Episode 71, Reward: -44145.20, Epsilon: 0.70, Mean wait: 8.49, Emissions: 4.02
Episode 72, Reward: -32342.96, Epsilon: 0.70, Mean wait: 3.88, Emissions: 3.26
Episode 73, Reward: -31886.61, Epsilon: 0.69, Mean wait: 6.06, Emissions: 3.05
Episode 74, Reward: -34454.44, Epsilon: 0.69, Mean wait: 6.13, Emissions: 3.19
Episode 75, Reward: -37967.66, Epsilon: 0.69, Mean wait: 5.25, Emissions: 3.61
Episode 76, Reward: -26077.91, Epsilon: 0.68, Mean wait: 2.73, Emissions: 2.92
Episode 77, Reward: -29893.36, Epsilon: 0.68, Mean wait: 5.09, Emissions: 3.01
Episode 78, Reward: -31786.44, Epsilon: 0.68, Mean wait: 5.72, Emissions: 2.94
Episode 79, Reward: -31996.18, Epsilon: 0.67, Mean wait: 5.90, Emissions: 2.99
Episode 80, Reward: -29151.33, Epsilon: 0.67, Mean wait: 4.38, Emissions: 3.16
Episode 81, Reward: -25686.28, Epsilon: 0.67, Mean wait: 3.54, Emissions: 2.73
Episode 82, Reward: -32090.90, Epsilon: 0.66, Mean wait: 4.09, Emissions: 3.28
Episode 83, Reward: -30543.02, Epsilon: 0.66, Mean wait: 4.92, Emissions: 3.12
Episode 84, Reward: -35977.58, Epsilon: 0.66, Mean wait: 5.11, Emissions: 3.53
Episode 85, Reward: -29284.61, Epsilon: 0.65, Mean wait: 3.21, Emissions: 3.32
Episode 86, Reward: -29513.34, Epsilon: 0.65, Mean wait: 5.34, Emissions: 2.87
Episode 87, Reward: -32245.04, Epsilon: 0.65, Mean wait: 6.33, Emissions: 3.09
Episode 88, Reward: -33081.82, Epsilon: 0.64, Mean wait: 4.67, Emissions: 3.38
Episode 89, Reward: -32885.83, Epsilon: 0.64, Mean wait: 4.86, Emissions: 3.24
Episode 90, Reward: -35187.04, Epsilon: 0.64, Mean wait: 5.52, Emissions: 3.49
Episode 91, Reward: -26819.98, Epsilon: 0.63, Mean wait: 3.37, Emissions: 3.01
Episode 92, Reward: -26700.56, Epsilon: 0.63, Mean wait: 4.13, Emissions: 2.77
Episode 93, Reward: -36838.20, Epsilon: 0.63, Mean wait: 7.06, Emissions: 3.32
Episode 94, Reward: -30142.78, Epsilon: 0.62, Mean wait: 5.22, Emissions: 3.07
Episode 95, Reward: -33648.96, Epsilon: 0.62, Mean wait: 8.42, Emissions: 2.92
Episode 96, Reward: -30574.13, Epsilon: 0.62, Mean wait: 7.86, Emissions: 3.05
Episode 97, Reward: -27638.41, Epsilon: 0.61, Mean wait: 5.28, Emissions: 2.90
Episode 98, Reward: -24791.84, Epsilon: 0.61, Mean wait: 3.23, Emissions: 2.72
Episode 99, Reward: -27264.97, Epsilon: 0.61, Mean wait: 3.66, Emissions: 3.12
Episode 100, Reward: -27556.80, Epsilon: 0.61, Mean wait: 4.95, Emissions: 3.04
Episode 101, Reward: -28140.37, Epsilon: 0.60, Mean wait: 4.38, Emissions: 3.01
Episode 102, Reward: -30406.90, Epsilon: 0.60, Mean wait: 8.26, Emissions: 2.92
Episode 103, Reward: -28875.01, Epsilon: 0.60, Mean wait: 4.59, Emissions: 3.03
Episode 104, Reward: -26325.09, Epsilon: 0.59, Mean wait: 6.39, Emissions: 2.80
Episode 105, Reward: -29627.10, Epsilon: 0.59, Mean wait: 6.42, Emissions: 2.87
Episode 106, Reward: -23610.27, Epsilon: 0.59, Mean wait: 3.95, Emissions: 2.71
Episode 107, Reward: -26986.98, Epsilon: 0.58, Mean wait: 7.34, Emissions: 2.62
Episode 108, Reward: -24334.60, Epsilon: 0.58, Mean wait: 4.54, Emissions: 2.67
Episode 109, Reward: -28608.44, Epsilon: 0.58, Mean wait: 4.01, Emissions: 3.06
Episode 110, Reward: -27140.78, Epsilon: 0.58, Mean wait: 7.65, Emissions: 2.66
Episode 111, Reward: -23398.52, Epsilon: 0.57, Mean wait: 4.38, Emissions: 2.62
Episode 112, Reward: -25792.80, Epsilon: 0.57, Mean wait: 3.81, Emissions: 2.90
Episode 113, Reward: -25557.97, Epsilon: 0.57, Mean wait: 4.61, Emissions: 2.78
Episode 114, Reward: -24220.37, Epsilon: 0.56, Mean wait: 4.28, Emissions: 2.90
Episode 115, Reward: -21522.19, Epsilon: 0.56, Mean wait: 2.91, Emissions: 2.69
Episode 116, Reward: -26835.10, Epsilon: 0.56, Mean wait: 4.63, Emissions: 2.86
Episode 117, Reward: -26256.51, Epsilon: 0.56, Mean wait: 4.63, Emissions: 2.80
Episode 118, Reward: -26838.68, Epsilon: 0.55, Mean wait: 5.66, Emissions: 2.81
Episode 119, Reward: -27220.42, Epsilon: 0.55, Mean wait: 6.93, Emissions: 2.73
Episode 120, Reward: -25349.14, Epsilon: 0.55, Mean wait: 4.67, Emissions: 2.82
Episode 121, Reward: -27611.07, Epsilon: 0.55, Mean wait: 3.68, Emissions: 3.20
Episode 122, Reward: -22437.31, Epsilon: 0.54, Mean wait: 3.11, Emissions: 2.74
Episode 123, Reward: -26580.81, Epsilon: 0.54, Mean wait: 3.25, Emissions: 2.93
Episode 124, Reward: -26592.90, Epsilon: 0.54, Mean wait: 4.94, Emissions: 2.97
Episode 125, Reward: -22245.71, Epsilon: 0.53, Mean wait: 6.24, Emissions: 2.48
Episode 126, Reward: -23621.51, Epsilon: 0.53, Mean wait: 4.36, Emissions: 2.68
Episode 127, Reward: -21929.69, Epsilon: 0.53, Mean wait: 5.69, Emissions: 2.52
Episode 128, Reward: -24325.13, Epsilon: 0.53, Mean wait: 3.84, Emissions: 2.93
